Question,Response
"What is the abstract of the journal article'Connectionist simulation of attitude learning: Asymmetries in the acquisition of
positive and negative evaluations'?","The abstract of the journal article titled 'Connectionist simulation of attitude learning: Asymmetries in the acquisition of
positive and negative evaluations' reads Connectionist computer simulation was employed to explore the notion that, if attitudes guide approach and avoidance behaviors, false negative beliefs are likely to remain uncorrected for longer than false positive beliefs. In Study 1, the authors trained a three-layer neural network to discriminate ""good"" and ""bad"" inputs distributed across a two-dimensional space. ""Full feedback"" training, whereby connection weights were modified to reduce error after every trial, resulted in perfect discrimination. ""Contingent feedback,"" whereby connection weights were only updated following outputs representing approach behavior, led to several false negative errors (good inputs misclassified as bad). In Study 2, the network was redesigned to distinguish a system for learning evaluations from a mechanism for selecting actions. Biasing action selection toward approach eliminated the asymmetry between learning of good and bad inputs under contingent feedback. Implications for various attitudinal phenomena and biases in social cognition are discussed. 

"
What is the abstract of the journal article'The Epitheliome: agent-based modelling of the social behaviour of cells'?,"The abstract of the journal article titled 'The Epitheliome: agent-based modelling of the social behaviour of cells' reads We have developed a new computational modelling paradigm for predicting the emergent behaviour
resulting from the interaction of cells in epithelial tissue. As proof-of-concept, an agent-based model,
in which there is a one-to-one correspondence between biological cells and software agents, has been
coupled to a simple physical model. Behaviour of the computational model is compared with the
growth characteristics of epithelial cells in monolayer culture, using growth media with low and
physiological calcium concentrations. Results show a qualitative fit between the growth characteristics
produced by the simulation and the in vitro cell models."
What is the abstract of the journal article'Agent-based computational modeling of wounded epithelial cell monolayers'?,"The abstract of the journal article titled 'Agent-based computational modeling of wounded epithelial cell monolayers' reads Computational modeling of biological systems, or ‘in silico biology’ is an emerging tool for understanding  structure and order in biological tissues. Computational models of the behavior of epithelial cells in monolayer cell culture have been developed and used to predict the healing characteristics of scratch wounds made to urothelial cell cultures maintained in low and physiological [Ca2+] environments. Both computational models and in vitro experiments demonstrated that in low exogenous [Ca2+], the closure of 500mm scratch wounds was achieved primarily by cell migration into the denuded area. The wound healing rate in low (0.09mM) [Ca2+] was approximately twice as rapid as in physiological (2mM) [Ca2+]. Computational modeling predicted that in cell cultures that are actively proliferating, no increase in the fraction of cells in S-phase would be expected, and this conclusion was supported experimentally  in vitro by BrdU incorporation assay. We have demonstrated that a simple rule-based model of cell behavior, incorporating rules relating to contact inhibition of proliferation and migration, is sufficient to qualitatively predict the calcium-dependent pattern of wound closure observed in vitro. Differences between the in vitro and in silico models suggest a role for wound-induced signaling events in urothelial cell cultures."
What is the abstract of the journal article'Comparison of topological descriptors for similarity-based virtual screening using multiple bioactive reference structures'?,"The abstract of the journal article titled 'Comparison of topological descriptors for similarity-based virtual screening using multiple bioactive reference structures' reads This paper reports a detailed comparison of a range of different types of 2D fingerprints when used for similarity-based virtual screening with multiple reference structures.  Experiments with the MDL Drug Data Report database demonstrate the effectiveness of fingerprints that encode circular substructure descriptors generated using the Morgan algorithm.  These fingerprints are notably more effective than fingerprints based on a fragment dictionary, on hashing and on topological pharmacophores.  The combination of these fingerprints with data fusion based on similarity scores provides both an effective and an efficient approach to virtual screening in lead-discovery programmes."
What is the abstract of the journal article'Empirically inspired simulated electro-mechanical model of the rat mystacial follicle-sinus complex'?,"The abstract of the journal article titled 'Empirically inspired simulated electro-mechanical model of the rat mystacial follicle-sinus complex' reads In whiskered animals, activity is evoked in the primary sensory afferent cells (trigeminal nerve) by mechanical stimulation of the whiskers. In some cell populations this activity is correlated well with continuous stimulus parameters such as whisker deflection magnitude, but in others it is observed to represent events such as whisker-stimulator contact or detachment. The transduction process is mediated by the mechanics of the whisker shaft and follicle-sinus complex (FSC), and the mechanics and electro-chemistry of mechanoreceptors within the FSC. An understanding of this transduction process and the nature of the primary neural codes generated is crucial for understanding more central sensory processing in the thalamus and cortex. However, the details of the peripheral processing are currently poorly understood. To overcome this deficiency in our knowledge, we constructed a simulated electro-mechanical model of the whisker-FSC-mechanoreceptor system in the rat and tested it against a variety of data drawn from the literature. The agreement was good enough to suggest that the model captures many of the key features of the peripheral whisker system in the rat."
What is the abstract of the journal article'Testing computational hypotheses of brain systems function: a case study with the basal ganglia'?,The abstract of the journal article titled 'Testing computational hypotheses of brain systems function: a case study with the basal ganglia' reads
What is the abstract of the journal article'Development and validation of computational models of cellular interaction'?,"The abstract of the journal article titled 'Development and validation of computational models of cellular interaction' reads In this paper we take the view that computational models of biological systems should satisfy two conditions –
they should be able to predict function at a systems biology level, and robust techniques of validation against
biological models must be available. A modelling paradigm for developing a predictive computational model of
cellular interaction is described, and methods of providing robust validation against biological models are
explored, followed by a consideration of software issues."
What is the abstract of the journal article'Distinct NF-κB Regulation by Shear Stress Through Ras-Dependent IκBα Oscillations'?,"The abstract of the journal article titled 'Distinct NF-κB Regulation by Shear Stress Through Ras-Dependent IκBα Oscillations' reads <jats:p>NF-κB, a transcription factor central to inflammatory regulation during development of atherosclerosis, is activated by soluble mediators and through biomechanical inputs such as flow-mediated shear- stress. To investigate the molecular mechanisms underlying shear stress mediated signal transduction in vascular cells we have developed a system that applies flow-mediated shear stress in a controlled manner, while inserted in a confocal microscope. In combination with GFP-based methods, this allows continuous monitoring of flow induced signal transduction in live cells and in real time. Flow-mediated shear stress, induced using the system, caused a successive increase in NF-κB–regulated gene activation. Experiments assessing the mechanisms underlying the NF-κB induced activity showed time and flow rate dependent effects on the inhibitor, IκBα, involving nuclear translocation characterized by a biphasic or cyclic pattern. The effect was observed in both endothelial- and smooth muscle cells, demonstrated to impact noncomplexed IκBα, and to involve mechanisms distinct from those mediating cytokine signals. In contrast, effects on the NF-κB subunit relA were similar to those observed during cytokine stimulation. Further experiments showed the flow induced inter-compartmental transport of IκBα to be regulated through the Ras GTP-ase, demonstrating a pronounced reduction in the effects following blocking of Ras activity. These studies show that flow-mediated shear stress, regulated by the Ras GTP-ase, uses distinct mechanisms of NF-κB control at the molecular level. The oscillatory pattern, reflecting inter-compartmental translocation of IκΒα, is likely to have fundamental impact on pathway regulation and on development of shear stress-induced distinct vascular cell phenotypes.</jats:p>"
What is the abstract of the journal article'Generation of multiple pharmacophore hypotheses using multiobjective optimisation techniques'?,"The abstract of the journal article titled 'Generation of multiple pharmacophore hypotheses using multiobjective optimisation techniques' reads Pharmacophore methods provide a way of establishing a structure--activity relationship for a series of known active ligands. Often, there are several plausible hypotheses that could explain the same set of ligands and, in such cases, it is important that the chemist is presented with alternatives that can be tested with different synthetic compounds. Existing pharmacophore methods involve either generating an ensemble of conformers and considering each conformer of each ligand in turn or exploring conformational space on-the-fly. The ensemble methods tend to produce a large number of hypotheses and require considerable effort to analyse the results, whereas methods that vary conformation on-the-fly typically generate a single solution that represents one possible hypothesis, even though several might exist. We describe a new method for generating multiple pharmacophore hypotheses with full conformational flexibility being explored on-the-fly. The method is based on multiobjective evolutionary algorithm techniques and is designed to search for an ensemble of diverse yet plausible overlays which can then be presented to the chemist for further investigation."
,
What is the abstract of the journal article'Accounting for Probe-level Noise in Principal Component Analysis of Microarray Data'?,"The abstract of the journal article titled 'Accounting for Probe-level Noise in Principal Component Analysis of Microarray Data' reads Motivation: Principal Component Analysis (PCA) is one of the most popular dimensionality reduction techniques for the analysis of high-dimensional datasets. However, in its standard form, it does not take into account any error measures associated with the data points beyond a standard spherical noise. This indiscriminate nature provides one of its main weaknesses when applied to biological data with inherently large variability, such as expression levels measured with microarrays. Methods now exist for extracting credibility intervals from the probe-level analysis of cDNA and oligonucleotide microarray experiments. These credibility intervals are gene and experiment specific, and can be propagated through an appropriate probabilistic downstream analysis.

Results: We propose a new model-based approach to PCA that takes into account the variances associated with each gene in each experiment. We develop an efficient EM-algorithm to estimate the parameters of our new model. The model provides significantly better results than standard PCA, while remaining computationally reasonable. We show how the model can be used to ‘denoise’ a microarray dataset leading to improved expression profiles and tighter clustering across profiles. The probabilistic nature of the model means that the correct number of principal components is automatically obtained.

Availability: The software used in the paper is available from http://www.bioinf.man.ac.uk/resources/puma."
"What is the abstract of the journal article'Regional differences in APD restitution can initiate wavebreak and re-entry in cardiac tissue: A computational study
'?","The abstract of the journal article titled 'Regional differences in APD restitution can initiate wavebreak and re-entry in cardiac tissue: A computational study
' reads Background

Regional differences in action potential duration (APD) restitution in the heart favour arrhythmias, but the mechanism is not well understood.

Methods

We simulated a 150 × 150 mm 2D sheet of cardiac ventricular tissue using a simplified computational model. We investigated wavebreak and re-entry initiated by an S1S2S3 stimulus protocol in tissue sheets with two regions, each with different APD restitution. The two regions had a different APD at short diastolic interval (DI), but similar APD at long DI. Simulations were performed twice; once with both regions having steep (slope > 1), and once with both regions having flat (slope < 1) APD restitution.

Results

Wavebreak and re-entry were readily initiated using the S1S2S3 protocol in tissue sheets with two regions having different APD restitution properties. Initiation occurred irrespective of whether the APD restitution slopes were steep or flat. With steep APD restitution, the range of S2S3 intervals resulting in wavebreak increased from 1 ms with S1S2 of 250 ms, to 75 ms (S1S2 180 ms). With flat APD restitution, the range of S2S3 intervals resulting in wavebreak increased from 1 ms (S1S2 250 ms), to 21 ms (S1S2 340 ms) and then 11 ms (S1S2 400 ms).

Conclusion

Regional differences in APD restitution are an arrhythmogenic substrate that can be concealed at normal heart rates. A premature stimulus produces regional differences in repolarisation, and a further premature stimulus can then result in wavebreak and initiate re-entry. This mechanism for initiating re-entry is independent of the steepness of the APD restitution curve.
"
What is the abstract of the journal article'Initiation of re-entry in an excitable medium: Structural investigation of cardiac tissue using a genetic algorithm'?,"The abstract of the journal article titled 'Initiation of re-entry in an excitable medium: Structural investigation of cardiac tissue using a genetic algorithm' reads <jats:p>The detailed mechanisms by which re-entry and ventricular fibrillation are initiated in the heart remain poorly understood because they are difficult to investigate experimentally. We have used a simplified excitable media computational model of action potential propagation to systematically study how re-entry can be produced by diffuse regions of inexcitable tissue. Patterns of excitable and inexcitable tissue were generated using a genetic algorithm. The inexcitable tissue was modeled in two ways: (i) diffusive, electrically connected but inexcitable tissue, or (ii) zero-flux, areas of tissue electrically disconnected in the same way as zero-flux boundary conditions. We were able to evolve patterns of diffuse inexcitable tissue that favored re-entry, but no single structure or pattern emerged. Diffusive inexcitable regions were inherently less arrhythmogenic than zero-flux inexcitable ones.</jats:p>"
What is the abstract of the journal article'A new dissimilarity measure for finding semantic structure in category fluency data with implications for understanding memory organization in schizophrenia'?,"The abstract of the journal article titled 'A new dissimilarity measure for finding semantic structure in category fluency data with implications for understanding memory organization in schizophrenia' reads The ordering of words in category fluency lists is indicative of the semantic distance between
items in conceptual memory. Several studies have concluded from structural analyses of
such data, using cluster analysis or multidimensional scaling, that the semantic memory of
patients with schizophrenia is more disorganized than that of controls. Previous studies have
based their analyses on a measure of average inter-item dissimilarity devised by Chan et al.
(1993). Here we derive a new and improved method of determining dissimilarity and show
that when this measure is applied to the fluency lists of patients with schizophrenia the
average pattern of organization for the animal category has similar structure to that of
controls, but with greater variability between individuals."
What is the abstract of the journal article'Comparison of human uterine cervical electrical impedance measurements derived using two tetrapolar probes of different sizes'?,"The abstract of the journal article titled 'Comparison of human uterine cervical electrical impedance measurements derived using two tetrapolar probes of different sizes' reads BACKGROUND

We sought to compare uterine cervical electrical impedance spectroscopy measurements employing two probes of different sizes, and to employ a finite element model to predict and compare the fraction of electrical current derived from subepithelial stromal tissue.

METHODS

Cervical impedance was measured in 12 subjects during early pregnancy using 2 different sizes of the probes on each subject.

RESULTS

Mean cervical resistivity was significantly higher (5.4 vs. 2.8 Ωm; p < 0.001) with the smaller probe in the frequency rage of 4–819 kHz. There was no difference in the short-term intra-observer variability between the two probes. The cervical impedance measurements derived in vivo followed the pattern predicted by the finite element model.

CONCLUSION

Inter-electrode distance on the probes for measuring cervical impedance influences the tissue resistivity values obtained. Determining the appropriate probe size is necessary when conducting clinical studies of resistivity of the cervix and other human tissues.

"
